OrgUnit ID,OrgUnit Name
HHK489bchmI,Majete1 (Hunger) Health Centre
ogCJRAEA06f,Makanjira Health Centre
a6SFNf7F567,Makapwa Health Centre
eZfOjVQcd0e,Makata Health Centre
TRDY52stPkd,Makhanga Health Centre
tCNxro4FiTA,Makhetha Dispensary
fmm167XcK2T,Makhwira Health Centre
H37Fo6H2Roi,Makiyoni Health Centre
q3B88KiRZ72,Makungwa Health Centre(Bvumbwe)
ctDR10R37Rw,Makwapala Health Centre
joh9QZI3a96,Makwasa Estate Clinic
SsBkD3XDOD7,Malabada Health Centre
kcEdNoW9QOb,Malambo Health Centre
MFvBkN5jzRF,Malamulo Day Clinic
UKeSrLQeuCm,Malamulo Hospital
Q7j0Yk4fDmo,Malawi Army Marine Camp Hospital 
fCSQlctoCLr,Maldeco Fisheries Clinic
UKbySUaELNM,Malembo Health Centre
tOaGG2xPLDm,Malembo Health Centre (Lilongwe)
BvmZAEbFgHw,Malidadi Health Centre
lP4THWArWA7,Malingunde Health Centre
obDGwQJFj5d,Malmed Private Clinic
n9kEwAvGSIu,Malombe Dispensary
mxfexio2lQ4,Malomo Health Centre
rKEqKuoGeKQ,Malowa Health Centre
dOgr5wPfLaq,Malukula Health Centre
LL3TLeE40xi,Maluwa Health Centre
xdPgIAQLQ6L,Mama Khadija Private ClinicNamwera 
zt2Jzw6wUcc,Mangamba Health Centre
vGbcjNT1TSJ,Mangochi District Hospital
GPslmIQyIyJ,Mangulenje Health Centre
jkGTBAmFE1b,Mangunda Health Centre
FPDJqyOOb4I,Manjawira Health Centre
YpAyWUsXP6l,Manolo Health Center
nDmSqHjGoHc,Manyamula Health Centre
YK6aK071R8v,Maonde Health Centre
XrE6S137IUq,Mapanga Health Center
NlBOlQkhfk5,Maperera Health Centre
ACgUJlruIQT,Mapeto DWS Clinic
Ljx0uViQtRg,Maravi Health Centre
z5QhXToeTgs,Mars Clinic 
oAX2IuKUC7A,Masasa Health Centre
c8uCPvKeeEM,Mase Health Centre
hj7sZWYuxTM,Masenjere Health Centre
tqyiGsEE1FJ,Masm Area 43
LLrZXqItgML,Masm Medi Clinic
CwXx44tbXVF,Masm Medi Clinic Katoto 
g9sKqV981QU,Masm Medi Clinic Lilongwe 
GQGxBnLrP91,Masm Medi ClinicLimbe 
iVOnl6X10Ym,Matanda Health Centre
JKAFWLrwdji,Matandani Health Centre
nyBn1aFSTnl,Matapila Health Centre
yREVcFcXe3h,Matawale Urban Health Centre
jeNQSrVSj0c,Matekenya Health Centre
bfDs0dTM81U,Matiki Health Centre
omQ3TWOHcDR,Matiya Health Centre
GjNQ12Y2l0F,Matope Health Centre
WIiA3ENQI5A,Matuli Health Centre
I5QjWlvvwsI,Matumba Health Centre
W423FAKdyEK,Maula Health Centre
sPwxCzvUtia,Maula Prison Health Centre Static Art
F6BWHBSv59O,Mauwa Health Centre
BU12lO6ynbT,Mauwa Maternity
JQgSk2DFvqZ,Mayaka Health Centre
U3ExHCyHDEZ,Mayani Health Centre
DbMbDgGQzLw,Mazabuka Medical Centre 
zR84MQKJlj4,Maziko Private Clinic 
xNJfdetFsOO,Mazunga Private Clinic
rwyqKbu6sVj,Mbabvi Health Centre
aLanDLYSxOP,Mbalachanda Health Centre
gRtggG07luV,Mbalanguzi Dispensary
AsETHxlmpIL,Mbang'ombe 1 Health Centre
rX8JkNx4U0A,Mbang'ombe 2 Health Centre
ELXUlTxf8K3,Mbanila Health Centre
ojywW0LnOe6,Mbayani Health Center
GMxiZxppgwD,Mbenje Health Centre
vHwtNk0Bvmi,Mbera Health Centre
rpW9v5wCsE6,Mbingwa Health Centre
dmGyp0vetoz,Mbiza Health Centre
iTzui2UcI8o,Mbonechera Health Centre
SrQ8y7MhCE6,Mbulumbudzi Health Centre
ERVjuHPNT3l,Mbulumbudzi Maternity
KRmwm560Ldo,Mbwatalika Health Centre
cPOF4KdmFAR,Mc Quire Wellness Health Centre
dttzdNvXHa5,Mchacha Dispensary
HC3bsEmqOGP,Mchima Clinic
dFFBYFnomxH,Mchinji District Hospital
c6WcEY1TXnq,Mchoka Health Centre
fQCAaNl0UMA,Mdeka Health Centre
jJwUNjSxgTS,Mdeza Dispensary
ECwzZkt3Rop,MDF Secondary School Clinic
H3xKaK0d3or,Mdunga Heallth Centre
qXsVFrRN4BB,Merit Private Clinic
gMuqGSS8knm,Mfera Health Centre
qb1Mj9bHSca,Mganja Maternity
inDCxEh9onL,Mhalaunda Health Centre
QrpvZldV7rA,Mhuju Rural Hospital
oXXbb8WAC4h,Mianga estate clinic
zq5yo5iRvsL,Midzemba Dispensary
PHIvzmuxq0q,Migowi Health Centre
ZEhFEU99s7M,Mikolongwe Health Centre
fQgxgDx2iHA,Mikondo Dispensary
rAdbHKHrveg,Mikundi Health Centre
yuC98hzOJTH,Mikuyu Adult Clinic
TCQVqqZMDUA,Mikuyu Young Clinic
MH3qGNRGA9d,Milepa Health Centre
C3eAtbe8AQW,Milonde Health Centre
YOhdb5QWf3k,Mimosa Dispensary
MCQRoU5bKZ7,Ming'Ongo Health Centre
f8vxxriQ29H,Minimini Dispensary
YDYPFwMDHNj,Misamvu Dispensary
WPueOTAiLN1,Misomali Health Centre
XnBB0NztocS,Misuku Health Centre
xEhYcXNLUVr,Mitsidi Health Centre(Lumbira)
aVmCsQGN0r1,Mitundu Rural Hospital
QRur3iZGQxE,Mjini Dispensary
FexDaTn0HFG,Mkanda Health Centre
je3gS5u3q51,Mkango Dispensary
F17kSj3t4iD,Mkhota R Growth Health Centre
K4fSBUiEBEX,Mkhuzi Health Centre
tRNfX43j5Mv,Mkhwayi Health Centre
y1zhkY1SAE9,Mkoma Health Centre
NTtMGoNspg9,Mkomaola Health Centre
XQ14A9f2j8N,Mkumba Health Centre
RQYBvIXGsDY,Mkwepere Health Centre
vlaK6dtRhxj,Mlale Hospital
cmCppSqIlzN,Mlambe Hospital
IvqvjIvVBaK,Mlanda Health Centre
a6eACcAs40A,Mlangali Dispensary
ONmU8CWhzv9,Mlangeni Health Centre
ObGhlP39lGg,Mlangeni Police Health Centre
o9B8rTitcGn,Mlare Dispensary
HYVLnrx75IO,Mlodza SDA Dispensary
ElXrgGgPfvw,Mlolera Womens Clinic 
SlyRIl4cwOF,Mlolo Dispensary
OUiAuB0Uc7D,Mlomba Health Centre
GSQ5TnX3yuJ,Mlowe Health Centre
uYi2L6Go4Qf,Mndinda Health Centre
mwyB6seePPU,Mnyanja Health Centre
rJjuBGDDPrG,Monkey-Bay Community Hospital
S9XMFfakFVw,Moyale Barracks Health Centre 
LGJ7Iyq5M8U,Moyo Wanga Pvt clinic
w8qa58C9FGk,Mpala Health Centre
YEVlg1UBA5H,Mpamantha Health Centre
cHhZC34cSCl,Mpamba Health Centre
Kxv4oNJw7DU,Mpasa Health Centre
n7QRqzjmhbr,Mpata Health Centre
zpInaIow7TF,MPC Bwaila ART CLINIC
d9yZ10QgeOl,Mpemba Health Centre
GJhhq8K1EBF,Mpepa / Chisinga Health Centre
KCFtEvMrZ3Z,Mphathi Health Centre
x6VWLw7WSUB,Mphelero Health Centre
D2lOPiKippv,Mphepozinai Dispensary
XazLGbIHFsc,Mpherembe Health Centre
hS2sYnTQbU3,Mphopha Health Centre
eXOvuYIG9YP,Mphunzi Health Centre
WaVNBxhEraz,Mpingo Health Centre
rl3pWoEjBn3,Mpiri Health Centre
AUDheLXTT2U,Mpondasi Health Centre
ueVjB10KIyz,Mponela Rural Hospital
tLsbScHkeRF,Mposa Health Centre
jgFPtgYE3C8,Msakambewa Health Centre
kEalcH7WPX0,Mseche Clinic
dE9wie8cYJB,Msenjere Health Centre
Um1JMpMYGpE,Msese Health Centre
R8oMSzJ1Txe,Msonthe Clinic
hLuqNN1enth,Msumbe Health Centre
wtmWonh9GZt,Mtakataka Health Centre
Fo4Nu1Khoqq,Mtakataka Police Health Centre
o0hX9ak46oU,Mtende Health Centre
r0KnLCBcTr3,Mtendere Health Centre
P4mpxuxgOZW,Mtengoumodzi Private Hospital
HkbvKBQFM6B,Mtengowanthenga Dream Project 
s79dCXbcoCA,Mtengowanthenga Hospital
TIa8uoFjhcd,Mtenthera Health Centre
U0L0TzkTg4Y,Mtimabii Health Centre
PxcYX4fmgXB,Mtonda Health Centre
tlqs0jOTw9o,Mtosa Health Centre
PbfmrMdVBs3,Mtunthama Health Centre
JeL4xvlOwsv,Mtwalo Health Centre
CpJKFMjPNUc,Mua Health Centre
niNbaFnNCgp,Mua Mission Hospital
Nepy3vH3e6g,Mulanje District Hospital
MKIDkeCfVCc,Mulanje Mission Hospital
GjCDed8EK8B,Mulibwanji Hospital
ijqBzVGbncx,Mulomba Health Centre
P5U57FLrPxL,Muloza Health Centre
jHjfJQsvt47,Muluma Dispensary
YpOsxnyWD67,Mulungu Alinafe Health Centre
atRsAeYj8bo,Mumbwe Medical Centre 
QKnbzIuwFb6,Mvera Mission Health Centre
aockNsOfjIt,Mvera Support Battalion Health Centre
f2PAHAHGZS4,Mwachira Private Clinic
YGIGbwqnA9M,Mwaiwathu Private Hospital
jyoWzEvm0XC,Mwandama Health Centre
Js5P9ZU5K6r,Mwanga Health Centre
ZctUHvWm292,Mwangala Health Centre
Rf1rrKDqc9l,Mwansambo Health Centre
ojR8a0Xu9A3,Mwanza District Hospital
dviOrlXivOL,Mwanza Illovo Clinic
aqRm9wq0aIA,Mwaya Health Centre
i14i0hgyT2B,Mwayi Private
JeN3ydrU4lR,Mwazisi Health Centre
iQmvSbGhycA,Mwima Health Centre
tca66OfpOph,Mzalangwe Health Centre
L0obMixrYsw,Mzambazi Rural Hospital
zbzy1EAHemL,Mzandu Health Centre
aqXXwPBKm5w,MZCH Administration
qpTxZ9rVSM1,MZCH Anaesthesia
JEQMfmkXD7t,MZCH Dental
rS3100micWB,MZCH Finance
EQcW1vRvimd,MZCH HDU
orwhH7mOd1V,MZCH Health Technical Support Services
p3KWpkPzZE3,MZCH Human Resources
Pac7eCYnh3A,MZCH ICU
GxyJ1rhBJ5b,MZCH Internal Medicine
woxoVqcOSS8,MZCH Medical Rehabilitation
N9KEEZcocfi,MZCH Mortuary
b3a8xY9DTLQ,MZCH Nutrition
Un609cy5Wxt,MZCH Obs and Gynae
itHrcZFDWcK,MZCH Oncology
QKYpoFi4mxL,MZCH One Stop Centre
zhMjLQ4wqyF,MZCH Opthalmology
MStDtqzWNLS,MZCH Orthopaedic
UVp6BE5BvG3,MZCH Paediatric
Ijjz00EAb72,MZCH Surgical Department
eUSjlrkXxaj,MZCH Theatre
DCafjM4Ew3G,Mzenga Health Centre
Z9eQMdFHCOd,MZH AETC
cSy0ziWTpJx,MZH Paying Ward
tsMtNUcvRPT,MZH Short Stay
H58PMzo9Xii,Mzimba District Hospital
GaqkYT3AgFn,Mziza Health Centre 
bYR9HESsWKd,Mzokoto Health Centre
eywf2mgdPPI,Mzuzu Central Prison 
sJQF7WPP2Ck,Mzuzu Police Dispensary
rHtjCrmXd7e,Mzuzu University Clinic 
cQ41y2ym2RV,Mzuzu Urban Health Centre
UlGsSjoERdc,Nainunje Health Centre
ncRCRH1homB,Naisi Health Centre
yRUuIksTiLm,Nakalanzi Health Centre
jcUguNrYDmp,Nalunga Health Centre
bHXisKRaXOR,Namadidi Dispensary
bthDRjgyzgo,Namadzi Health Centre
JRwvE3EiDuo,Namalaka Health Centre
KEPMWjMdxDG,Namandanje Health Centre
XG7w56VzqMn,Namanja Health Centre
spgBSrohYPo,Namanolo Health Centre
asiPyqS8rHs,Namasalima Health Centre (Mulanje)
mR7n2aiuf2m,Namasalima Health Centre (Zomba)
AyarnjnokWg,Nambazo Health Centre
FIHIYv39yqU,Nambiti II Health Centre
qlkyWX9EEaw,Nambuma Health Centre
AWytIG2qdwP,Namikango Health Centre
sTjTxJqSCWE,Namikoko Health Centre
VLJsrQrzivg,Naming'omba estate clinic
zgQjvfvY38A,Namisu Dispensary
TArV024FtcH,Namitambo Health Centre
OAXUYKyVuIz,Namizana Dispensary
PxkHQqgxweP,Namphungo Health Centre
uLVlUIL4rlD,Namulenga Health Centre
SjXKV0RvdBG,Namwera Health Centre
Q90Za7zl8zB,Nancholi Dispensary
D5r4oBqr9BN,Nancholi YO Palliative Care site
tVpkUqyzg60,Nandumbo Health Centre
xSi6MZN3hAK,Nangalamu Health Centre
oS0WaJ5v6t4,Nankhwali Health Centre
cnUCvDXttIv,Nankumba Health Centre
iQKnRKmqARP,NAPHAM Clinic
akhqt6Z6B7x,Naphimba Health Centre
RicJ2qmCw3g,Nasawa Health Centre
AgYrPo8MW5I,Nathenje Health Centre
fwctySB9ovz,Nayuchi Health Centre
nXFq0fzH08I,Nchalo Hunger (MoH)
EdY8ZVRq9ST,Ndakwela Health Centre
pSYB6OucIkn,Ndamera Health Centre
Pw6JwUkqdlF,Ndaula Health Centre
j49yi7OyTf6,Ndimoyo Palliative Care Centre
zizB8oIwvOJ,Ndirande BLM
M5ZUfC4v8GV,Ndirande Urban Health Centre
YxzE6eiZh7V,Ndunde Health Centre
Rmh4wKR794k,Neno District Hospital
I4Vox6oteWl,Neno Parish Health Centre
s0Wy1UgxpqI,New Statehouse Dispensary
XkcRltXu9tK,Newa / Mpasazi Health Centre
CyLPblDfB5N,Ng'onga Health Centre
r1idesX7bX6,Ngabu Rural Hospital
yJV9qRDSt9V,Ngabu SDA  Health Centre
tTaiG5Qrcyr,Ngala Health Centre
Cas9rlkSOQn,Ngana Health Centre
VWvs8SJXcRe,Ngapani Health Centre
LTFJhIOv3VP,Ngodzi Health Centre
UltcvVpNf8r,Ngokwe Health Centre
U1sHpxxw4WH,Ngoni Health Centre
grLzTEcg70S,Ngwelero Health Centre
CZXbHCpGcTW,Njuyu Health Centre
Phu68UfvSy0,Nkalo Health Centre
TOHfssdeOr9,Nkasala Health Centre
N4dbtgJAnhw,Nkhalango Private Clinic
QcCfOxMgWJN,Nkhamenya Hospital
cGvhk2ChRaA,Nkhande Dispensary
Cr4BIZYc1Ks,Nkhata Bay District Hospital
UhakMoxPLoa,Nkhatabay Private Clinic
cW0qFAm1C3P,Nkhataombere Maternity
wPja49DJa2A,Nkhoma Hospital
dz2aFcg1wHo,Nkhorongo Health Centre
eLLoifuK7RA,Nkhotakota District Hospital
IFWkUcZya9D,Nkhulambe Health Centre
RQX6rnfUsBD,Nkhunga Health Centre
BogAIA30ZjT,Nkhwazi Health Centre
PY3CbMBy53P,Nkomaula Health Centre
cjXYVRHJjQn,Nkombedzi Health Centre
jrlOSjcDYGN,Nkope Health Centre
cfzBcWqPOoy,Nkula Health Centre
OH6iMGjGTbZ,Nkula/Tedzani Clinic
bwhjLosc8k8,Nkumaniza Health Centre
rIFUCMVM6i2,NRC
zUquZgXa6Rm,Nsabwe Dispensary
HxziIaDjatq,Nsambe Sda Health Centre
DLSIRdTyKv3,Nsanama Health Centre
tVuIhivYk9N,Nsanje District Hospital
lxulWQBn6fT,Nsaru Health Centre
DZq9bb4C1Jn,Nsipe Health Centre
GYlTZXKcHxA,Nsiyaludzu Health Centre
Ybh0Ww4WWVx,Ntaja Health Centre
irf8hxUohn5,Ntcheu District Hospital
qXwx6gQyNBv,Ntchisi District Hospital
I6ZujG9AVcl,Nthalire Health Centre
mEYFrYZrHrN,Nthenje Health Centre
VSHsslABmXE,Ntholowa Health Centre
yzgU0YKoHnq,Nthondo Health Centre (Lilongwe)
xQBYdqlCMvU,Nthondo Health Centre (Ntchisi)
qXonH3FiBYn,Nthungwa Health Centre
yqRWtPJP1BG,Nyamanda Pvt Clinic
CedL5WOqd2I,Nyambadwe Private Hospital
ZD6zoYO03cf,Nyambi Health Centre
zCPRlak2MqT,Nyamithuthu Health Centre
BoFpWeZOB2l,Nyanja Health Centre
xr2MuALneJH,Nyungwe Health Centre
xiPaD8Vsm7n,Nzama Health Centre
bWYHqt0OcHy,Ofesi Health Centre
ZqRS6PkibPM,Padley Pio Health Centre
Y4g17ECjSHt,Paracchute dispensary
FHaAx124JwD,Partners In Hope Clinic Moyo Clinic (public)
oAbzoo8jsNn,Partners In Hope ClinicDalitso Clinic(private)
xN8oZzMyC33,Pensulo Health Centre
zDFhyylZv3c,Phalombe Health Centre
m03CECb09qZ,Phalombe Mission Holy Family Hospital
Xp3wYJuLYue,Phalula Health Centre
fzNTz7Gcejn,Phanga Dispensary
OmkxKPS11ej,Phimbi Health Centre
IXMfufQaORA,Phirilongwe Health Centre
t0NplMFqDph,Phokera Health Centre
nCX7iqBMNwM,Pim Health Centre
X3O5uAX04Z9,Pirimiti Health Centre
PbvsqIcWCec,Police (Area 30) Dispensary
BVyPLf3Mm43,Police College Dispensary
xv1ibnyVokh,Police College Health Centre 
QwBJxR5kKa1,Police Hospital
nFIyDVJHSgo,Polytechnic Clinic 
abwaidMcPpQ,Press Cooperation Clinic
NGuDniOCUN5,PSI
xR6l67TETM8,qech Anaesthesia and Intensive Care Department
Cv9mzdDWJ4k,qech Clinical Support Services
ubxoYJhDkDr,qech Dental Department
wJh3Ny3R0Po,qech Management Department
hPt56azxpFU,qech Medical Department
l3JLs9yhxbV,qech Neurosurgery Department
Xke4dPY463J,qech Obs and Gynae Department
W2dOG7yPSYg,qech Oncology department
KrmJyodYZUR,qech one stop centre
L3msdyyEwrq,qech Ophthalmology Department
SwqpCcvs88O,qech Orthopaedic Department
v7couup1r8U,qech Paediatric Department
JmJ2730IHKf,qech Paediatric Surgery
p58inz2GiwQ,qech Rehabilitation & Palliative
aXdTEa1tZyk,qech Surgical Department
UAl6raBTebe,Queen Elizabeth Central Hospital
G6HYLoDmHdT,Raiply Clinic
uOxLo7wYTRA,Raiply Dispensary
WU9qmsrke3o,River of Life Clinic
kKaGzpI0IKd,Ruarwe Health Centre
ELlvUH7sci2,Rumphi District Hospital
ZbuBESAP1bq,Ruo Dispensary
BuyHhYha5dP,Sadzi Health Centre
D4HrpFEtQRq,Salima District Hospital
VQ55OUjplL7,Sambakusi Health Centre
SykBimJT1V2,Sambankhanga Health Centre
miqv8CSP673,Sandama Health Centre
r0Elt6wypHg,Sangilo Health Centre
H64Mae6Suyl,Sanjika Clinic
xhQxgh1GSkX,Sankhulani Health Centre
B1gKsva7Nw4,Santhe Health Centre
S0KCNuAkdMR,Satemwa Clinic
ceJLGDr1eVI,Senga Bay Baptist Dispensary
FWZnvXYdJV6,Senzani Health Centre
Wwu7pZG2KuR,Sharpe Valley Health Centre
CMTihDdVodi,Shifa Private Clinic
xcRa7FraazI,Simlemba Health Centre
OojoWe533hy,Sinyala Dispensary
QJKJi4blhkg,Sister Teleza Community Hospital
AiR2MD63tCb,Soche Maternity
nKzxabl3RpR,Soche SDA Dispensary
HrORTH4UNrp,Somba Health Centre
tWHl2Y9tGSe,Sorgin Health Centre
rrTE8OcL49T,Sos Childrens Village Blantyre
qJRzJoylexL,SOS Clinic
OJhXyqgy2Qm,South Lunzu Health Centre
hwx0GuqLuBN,Sr Marthas Health Centre
u9OaAjL9cih,Ssh Clinic
WEXi1SR3Ps6,St Andrews Community Hospital
fA5VQVs3L2A,St Annes Health Centre
VQ1v5jwMz7G,St Augustin Anglican Clinic (Shayona)
M438IpmrFy5,St Gabriels Hospital
DJ8gHyjgiVL,St Johns Mission Hospital
Q9p5l8Liv8c,St Johns of God Mental Hospital
jm5VShYSJ35,St Josephs Mission Hospital(Nguludi)
plC4nwLdlbf,St Josephs Mitengo Health Centre
rohhSzKgCbr,St Lukes Hospital
RfcuOXpbcam,St Martin Hospital
POK4qrJEUda,St Martins Molere Health Centre
a8NecI8jzqL,St Montfort Hospital
F5rBhJR8YzL,St Patricks Health Centre(Rumphi)
CsyzgID0Nif,St Peters (Likoma) Rural Hospital
rLCi8itMAng,St Peters Hospital
q4hK217Rtbr,St Vincent Health CentreChadzunda
pqKNCtpevif,St. Annes Mission Hospital
TfUBwEL4ESW,St. Faith Health Centre
yftleYsvzyI,St. John of God Mental Hospital (Lilongwe)
ZEdyB0IvOj3,St. Kizito Dispensary
CKRqkhgVqwJ,State House Dispensary
pix1qzSosTb,Sukasanje Health Centre
hyQSe6rVikw,sunrise clinic
PEHVxojxzOF,Tachira Private Clinic 
BU7rorTM59N,Tcharo Health Centre
PfE0xKirf0K,Tedzani Clinic
sKN6JyTFe9M,Tedzani Escom Clinic
tfkK9FkHh3n,Tembwe Health Centre
O4OnTZDe6YW,Tengani Health Centre
OfoB1qVuiwI,Thambani Health Centre
or37YlPVkxQ,Thavite Health Centre
oF4LyJn1q4E,The Clinic
G5c744Vg7aq,Theatre For Change Clinic
INxuyEdPFCm,Thekerani Rural Hospital
Y06YIhXv9wY,Thembe Health Centre
TKKQUXqRrrr,Thomas Health Centre
WSD1egGlSlf,Thondwe Health Centre
V75SGRWLZNR,Thonje Health Centre
xIfDdYzRS5G,Thuchila Health Centre
tlDXiuRLOpw,Thumbwe Health Centre
O6DhPzoQAUm,Thunduwike Health Centre
RCNInuIslmh,Thunga Health Centre
Obpw5vLlCtg,Thyolo District Hospital
Kash20S32hR,Tikondane Private Clinic
lrb5YjvXHcf,Tiyese Private Maternity 
iRQXiwCxsE8,Trinity - Fatima Hospital
rLjop5TPyxt,Tsangano Health Centre
NZE1wxbWvTa,Tsoyo Dispensary
WzvT614Stek,Tukombo Health Centre
UDVA59g76b9,Tulonkhondo Health Centre
Q8nVnVo1NOY,Ukwe Health Centre
GlTM0PVLNMX,Ulongwe Health Centre
c07BSKSIfAF,Umoyo Private Clinic
S9hz5mgJUjI,Umunthu Foundation
vaCqY6Cv5G4,UNC
m6YZsECSfOK,Unilever South East Company Clinic
FPRoiJAvYTh,United Bus Company Clinic
Wh3m13Uzsn7,Usisya Health Centre
uKJ1hfxCykV,Utale 1 Health Centre
cPO0zV087kQ,Utale 2 Health Centre
BtjLFnqUPEj,Vibangalala Dispensary
duwtTjuHUih,Vizara Dispensary
uBmhSlPGXCC,Waruma Health Post
M7TlHaVIPLz,Wenya Health Centre
yr54vCUBTIZ,Wezi Medical Centre 
kUmwU0N12O7,Wiliro Health Centre
bPKUlNCxhvT,Wimbe Health Centre
bLAoLBIwbSn,World Medical Fund 
TLPAp986efZ,Yankho Private Clinic
NW5K84KJ4xp,zalewa Dispensary
VYfQekEKBIZ,Zch  Other stand alone
HN4CYqvaz2x,Zch Aenaesthesia & Intesive care department
cDCaEJPNMiV,Zch Dental department
aHZkp6KyuD7,Zch Dermatology
v0T5VTooRPO,Zch Medical department
IJmW4oX63UE,Zch Obs and Gyna department
xtnqzBUBo3g,Zch Opthalmology
ulVyxasEb0Y,Zch Orthopaedic department
CiDTMMjTXxC,Zch Paediatric deparment
DOwQkYSluOZ,Zch Surgical department
P3bvgqs7mIQ,Zilindo Health Centre
g9d246Hnb7w,Zingwangwa BLM Clinic
gTkYqxfVTM0,Zingwangwa Urban Health Centre
i6PjWckrs7y,Zoa Dispensary
iaUfnrbzQ9d,Zoa Health Centre
B9FD1zCgB3t,Zolozolo Health Centre
A8FCrw9vdEI,Zomba Central Prison Clinic
RY0I8Ha0azq,Kamuzu Central Hospital
EQg6N2v2TXj,Mzuzu Central Hospital
aimBmvkBWy3,Queen Elizaberth Central Hospital
uJG4WFdUJSv,Zomba Central Hospital
S1l6Df6SvLL,Zomba Mental Hospital